indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M3,momentum,MACD Dead Cross,OP,D,0.21818181818181817,0.43478260869565216,0.29055690072639223,10.666666666666666,9.0,0.7818181818181819,55,12,43,10,13,23
M3,momentum,MACD Dead Cross,AVAX,ALL,0.30434782608695654,0.43333333333333335,0.35756385068762286,10.285714285714286,11.0,0.6956521739130435,46,14,32,13,17,30
M3,momentum,MACD Dead Cross,AVAX,A,0.391304347826087,0.6666666666666666,0.4931506849315068,8.833333333333334,4.0,0.6086956521739131,46,18,28,16,8,24
M3,momentum,MACD Dead Cross,AVAX,B,0.30434782608695654,0.4482758620689655,0.36254980079681276,11.0,13.5,0.6956521739130435,46,14,32,13,16,29
M3,momentum,MACD Dead Cross,AVAX,C,0.021739130434782608,0.2,0.0392156862745098,8.0,8.0,0.9782608695652174,46,1,45,1,4,5
M3,momentum,MACD Dead Cross,AVAX,D,0.2608695652173913,0.5,0.3428571428571428,11.5,11.0,0.7391304347826086,46,12,34,11,11,22
M3,momentum,MACD Dead Cross,XRP,ALL,0.3269230769230769,0.4838709677419355,0.39020657995409336,10.176470588235293,11.0,0.6730769230769231,52,17,35,15,16,31
M3,momentum,MACD Dead Cross,XRP,A,0.2692307692307692,0.7222222222222222,0.39224137931034475,7.571428571428571,4.5,0.7307692307692307,52,14,38,13,5,18
M3,momentum,MACD Dead Cross,XRP,B,0.2692307692307692,0.4782608695652174,0.34451901565995524,9.857142857142858,10.0,0.7307692307692307,52,14,38,11,12,23
M3,momentum,MACD Dead Cross,XRP,C,0.15384615384615385,0.5714285714285714,0.24242424242424246,9.75,9.0,0.8461538461538461,52,8,44,8,6,14
M3,momentum,MACD Dead Cross,XRP,D,0.19230769230769232,0.47368421052631576,0.2735562310030395,12.3,12.0,0.8076923076923077,52,10,42,9,10,19
M3,momentum,MACD Dead Cross,XLM,ALL,0.2631578947368421,0.5384615384615384,0.3535353535353535,9.733333333333333,9.0,0.7368421052631579,57,15,42,14,12,26
M3,momentum,MACD Dead Cross,XLM,A,0.24561403508771928,0.8666666666666667,0.3827549947423765,8.214285714285714,4.0,0.7543859649122807,57,14,43,13,2,15
M3,momentum,MACD Dead Cross,XLM,B,0.22807017543859648,0.6190476190476191,0.3333333333333333,7.6923076923076925,8.0,0.7719298245614035,57,13,44,13,8,21
M3,momentum,MACD Dead Cross,XLM,C,0.12280701754385964,0.6,0.20388349514563103,13.571428571428571,16.0,0.8771929824561403,57,7,50,6,4,10
M3,momentum,MACD Dead Cross,XLM,D,0.19298245614035087,0.5882352941176471,0.29062087186261554,12.363636363636363,15.0,0.8070175438596491,57,11,46,10,7,17
