symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
OP,OP_19,2024-10-25,2024-11-14,5,A|B|D,-0.21827706635622812,True,True,False,True
OP,OP_20,2024-12-09,2024-12-19,3,A|B|D,-0.2568199532346064,True,True,False,True
OP,OP_21,2025-01-07,2025-03-09,13,A|B|D,-0.5680081507896078,True,True,False,True
OP,OP_22,2025-03-29,2025-04-06,3,A|B|D,-0.21540469973890342,True,True,False,True
OP,OP_23,2025-04-27,2025-06-21,16,A|B|D,-0.44395604395604393,True,True,False,True
OP,OP_24,2025-07-23,2025-08-25,6,A|B|D,-0.2139588100686498,True,True,False,True
OP,OP_25,2025-09-22,2025-09-24,2,A|B|D,-0.15974873752925234,True,True,False,True
OP,OP_26,2025-10-10,2025-12-01,9,A|B|D,-0.42780322644891455,True,True,False,True
OP,OP_27,2025-12-17,2025-12-18,2,A|B,-0.1543458088462728,True,True,False,False
OP,OP_28,2026-01-20,2026-02-19,9,A|B|D,-0.5476036269430052,True,True,False,True
OP,OP_29,2026-03-19,2026-03-27,3,A|B,-0.17527272727272736,True,True,False,False
OP,OP_30,2026-05-13,2026-05-17,3,A|B,-0.2043073341094297,True,True,False,False
OP,OP_31,2026-06-04,2026-06-05,2,A|B|D,-0.17453625632377734,True,True,False,True
SOL,SOL_0,2022-01-05,2022-01-21,4,A|B|D,-0.27342738804038325,True,True,False,True
SOL,SOL_1,2022-02-11,2022-03-07,8,A|B|D,-0.22611827141774077,True,True,False,True
SOL,SOL_2,2022-04-06,2022-04-11,4,A|B|D,-0.18867786705624556,True,True,False,True
SOL,SOL_3,2022-04-30,2022-07-25,19,A|B|C|D,-0.8098402770021222,True,True,True,True
SOL,SOL_4,2022-08-19,2022-08-28,3,A|B|D,-0.21262093227792422,True,True,False,True
SOL,SOL_5,2022-09-13,2022-09-15,2,B|D,-0.1185897435897435,False,True,False,True
SOL,SOL_6,2022-10-20,2022-10-20,1,B,-0.10253123998718361,False,True,False,False
SOL,SOL_7,2022-11-06,2022-11-21,8,A|B|D,-0.6373390557939913,True,True,False,True
SOL,SOL_8,2022-12-16,2022-12-28,3,A|B|D,-0.21982414068745004,True,True,False,True
SOL,SOL_9,2023-01-18,2023-02-10,4,A|B|D,-0.22861526658995013,True,True,False,True
SOL,SOL_10,2023-03-08,2023-03-08,1,A|B|D,-0.18214127054642382,True,True,False,True
SOL,SOL_11,2023-04-19,2023-04-23,3,A|B|D,-0.15272296764009474,True,True,False,True
SOL,SOL_12,2023-06-05,2023-06-10,4,A|B|D,-0.23405299313052008,True,True,False,True
SOL,SOL_13,2023-08-17,2023-09-01,3,A|B,-0.15806195393169187,True,True,False,False
