date,symbol,crash_A,crash_B,crash_C,crash_D,ret_1d,ret_3d,ret_7d,dd_52w,crash_type,severity,cluster_id,cluster_start,cluster_peak_decline
2024-07-07,DOGE,True,False,False,True,-0.08181257163008016,-0.008284136354979932,-0.16331940874035977,-0.5266124267078769,A|D,-0.16331940874035977,DOGE_18,2024-07-04,-0.17378648414758868
2024-08-02,DOGE,True,True,False,False,-0.06261030338683926,-0.11130587204206843,-0.16879052090319702,-0.49302304440707245,A|B,-0.16879052090319702,DOGE_19,2024-08-02,-0.16879052090319702
2024-08-05,DOGE,False,False,False,True,-0.09050602409638553,-0.15402546171776943,-0.2652806976563108,-0.5711104040725421,D,-0.09050602409638553,DOGE_19,2024-08-02,-0.16879052090319702
2024-08-27,DOGE,False,True,False,False,-0.059790874524714877,-0.1214247646118316,-0.03868208766643988,-0.5504295259306395,B,-0.1214247646118316,DOGE_20,2024-08-27,-0.1214247646118316
2024-09-30,DOGE,False,False,False,True,-0.08176555716353107,-0.07529754675734746,0.0568150272971224,-0.4808872323985274,D,-0.08176555716353107,DOGE_21,2024-09-30,-0.16562548805247546
2024-10-01,DOGE,False,True,False,False,-0.06444269328430086,-0.16562548805247546,-0.026778395117952436,-0.5143402572610336,B,-0.16562548805247546,DOGE_21,2024-09-30,-0.16562548805247546
2024-11-14,DOGE,False,False,False,True,-0.09144675838909366,0.03181921675774135,0.8761126060856965,-0.09144675838909366,D,-0.09144675838909366,DOGE_22,2024-11-14,-0.32602122869089745
2024-11-25,DOGE,False,False,False,True,-0.08737187085977272,-0.04876807907551428,0.057958127879718546,-0.08737187085977272,D,-0.08737187085977272,DOGE_22,2024-11-14,-0.32602122869089745
2024-11-26,DOGE,False,True,False,False,-0.014236960065199589,-0.10019760548645817,-0.009266132541531191,-0.10036492108871997,B,-0.10019760548645817,DOGE_22,2024-11-14,-0.32602122869089745
2024-12-09,DOGE,False,False,False,True,-0.11219041492441295,-0.04748429843329416,-0.024825117177379452,-0.11219041492441295,D,-0.11219041492441295,DOGE_22,2024-11-14,-0.32602122869089745
2024-12-10,DOGE,False,True,False,False,-0.04857135956331671,-0.13005454826527685,-0.03051781846820245,-0.15531253350487828,B,-0.13005454826527685,DOGE_22,2024-11-14,-0.32602122869089745
2024-12-18,DOGE,False,True,True,True,-0.09110744640365342,-0.11891586118694508,-0.1347277909279745,-0.23182159322397333,B|C|D,-0.23182159322397333,DOGE_22,2024-11-14,-0.32602122869089745
2024-12-19,DOGE,True,False,False,False,-0.12262728896828945,-0.21803706928722477,-0.22604713008790733,-0.32602122869089745,A,-0.22604713008790733,DOGE_22,2024-11-14,-0.32602122869089745
2025-01-07,DOGE,False,True,True,True,-0.10267649940694146,-0.11860800850999176,0.10126582278481,-0.2537793502733998,B|C|D,-0.2537793502733998,DOGE_23,2025-01-07,-0.40303431667670075
2025-01-19,DOGE,False,False,True,True,-0.09588557301783507,-0.048049084969056244,0.0669524575034981,-0.23147850327007613,C|D,-0.23147850327007613,DOGE_23,2025-01-07,-0.40303431667670075
2025-01-20,DOGE,False,True,False,False,-0.010714285714285787,-0.14615291992775437,0.04877688052770135,-0.23971266216361098,B,-0.14615291992775437,DOGE_23,2025-01-07,-0.40303431667670075
2025-01-24,DOGE,True,False,False,False,-0.003436914162358695,-0.05627135056621024,-0.15508729680915112,-0.24766806046960432,A,-0.15508729680915112,DOGE_23,2025-01-07,-0.40303431667670075
2025-02-02,DOGE,True,True,False,True,-0.12938425565081857,-0.191385394986879,-0.2022615682190151,-0.4251527822450949,A|B|D,-0.2022615682190151,DOGE_23,2025-01-07,-0.40303431667670075
2025-02-04,DOGE,True,False,False,False,-0.07512725996138314,-0.14442062873473627,-0.1733864641837406,-0.4350809477859976,A,-0.1733864641837406,DOGE_23,2025-01-07,-0.40303431667670075
2025-02-06,DOGE,False,True,False,False,-0.0323978297357429,-0.1297525013164823,-0.2522848610985431,-0.4684464458025088,B,-0.1297525013164823,DOGE_23,2025-01-07,-0.40303431667670075
2025-02-24,DOGE,True,True,False,True,-0.13349804406011945,-0.12196444963698572,-0.18498005344901036,-0.5487723812587113,A|B|D,-0.18498005344901036,DOGE_24,2025-02-24,-0.297605616146421
2025-03-03,DOGE,False,False,False,True,-0.16789937737662441,-0.013426476416963928,-0.0536995675521551,-0.5730031092527073,D,-0.16789937737662441,DOGE_24,2025-02-24,-0.297605616146421
2025-03-05,DOGE,False,True,False,False,0.028435066566189438,-0.14458234089674482,0.005698845492507987,-0.5610378471105393,B,-0.14458234089674482,DOGE_24,2025-02-24,-0.297605616146421
2025-03-09,DOGE,True,True,False,True,-0.12607881875844873,-0.16593063067533365,-0.297605616146421,-0.6395625603087809,A|B|D,-0.297605616146421,DOGE_24,2025-02-24,-0.297605616146421
2025-03-29,DOGE,False,True,False,False,-0.05919884598313363,-0.1299640841457157,0.0131445300830495,-0.636388978235231,B,-0.1299640841457157,DOGE_25,2025-03-29,-0.18237728474537307
2025-04-02,DOGE,True,False,False,False,-0.05834003908495222,-0.01615421570982467,-0.15941508465879928,-0.6486973303312962,A,-0.15941508465879928,DOGE_25,2025-03-29,-0.18237728474537307
2025-04-06,DOGE,False,False,False,True,-0.11664102260622544,-0.08034008995132769,-0.10359116022099435,-0.6799185161359493,D,-0.11664102260622544,DOGE_25,2025-03-29,-0.18237728474537307
2025-04-07,DOGE,False,True,False,False,0.0020767736316740226,-0.12669313404950955,-0.10248409936397462,-0.6792537793502734,B,-0.12669313404950955,DOGE_25,2025-03-29,-0.18237728474537307
2025-04-08,DOGE,True,False,False,False,-0.04900387752373314,-0.15818440052077176,-0.18237728474537307,-0.6949715878631929,A,-0.18237728474537307,DOGE_25,2025-03-29,-0.18237728474537307
2025-05-23,DOGE,False,False,False,True,-0.08294649401417054,-0.004596685082873031,0.018542806747772644,-0.5170794467674493,D,-0.08294649401417054,DOGE_26,2025-05-23,-0.24307460837242223
2025-05-30,DOGE,False,True,False,True,-0.09912970633406248,-0.1434197716612089,-0.14049109719817066,-0.5849254851506379,B|D,-0.1434197716612089,DOGE_26,2025-05-23,-0.24307460837242223
2025-06-05,DOGE,True,True,False,True,-0.09073995322134809,-0.12313528476956981,-0.20393726439242332,-0.6332153961616811,A|B|D,-0.20393726439242332,DOGE_26,2025-05-23,-0.24307460837242223
2025-06-22,DOGE,False,True,False,False,-0.02064992232004137,-0.11484905218815811,-0.1380960519569303,-0.6755870054679961,B,-0.11484905218815811,DOGE_27,2025-06-22,-0.11484905218815811
2025-07-23,DOGE,False,True,False,True,-0.11109880781013548,-0.12025570776255712,0.132251998119417,-0.4835852900182267,B|D,-0.12025570776255712,DOGE_28,2025-07-23,-0.20699248432504247
2025-07-28,DOGE,True,False,False,False,-0.06048772381704137,-0.04469226545009086,-0.16678947756244933,-0.5150637932883028,A,-0.16678947756244933,DOGE_28,2025-07-23,-0.20699248432504247
2025-08-01,DOGE,True,True,False,False,-0.041813674072661344,-0.102491961414791,-0.15105816753263202,-0.5690575747828883,A|B,-0.15105816753263202,DOGE_28,2025-07-23,-0.20699248432504247
2025-08-14,DOGE,False,False,False,True,-0.085777305775672,0.007880398072679817,0.006928198668346264,-0.520060040741932,D,-0.085777305775672,DOGE_28,2025-07-23,-0.20699248432504247
2025-08-25,DOGE,False,True,False,True,-0.09563454404279181,-0.1284193897064937,-0.058260713323151636,-0.5504449447839606,B|D,-0.1284193897064937,DOGE_28,2025-07-23,-0.20699248432504247
2025-09-23,DOGE,False,True,False,False,-0.017121300058038247,-0.11398034306214733,-0.12172624560103729,-0.49160501769057574,B,-0.11398034306214733,DOGE_29,2025-09-23,-0.19977025523207803
2025-09-25,DOGE,True,False,False,False,-0.07528933504791135,-0.0758643561893706,-0.19977025523207803,-0.5219899217326043,A,-0.19977025523207803,DOGE_29,2025-09-23,-0.19977025523207803
2025-10-10,DOGE,True,True,False,True,-0.22133687472332886,-0.2160683899197796,-0.25059065029629335,-0.5850970301275866,A|B|D,-0.25059065029629335,DOGE_30,2025-10-10,-0.25059065029629335
2025-10-16,DOGE,False,True,False,False,-0.03929463330105498,-0.11833489242282502,-0.24141816572095454,-0.5957971480647581,B,-0.11833489242282502,DOGE_30,2025-10-10,-0.25059065029629335
2025-11-03,DOGE,True,True,False,True,-0.10178130700718957,-0.10207037116498596,-0.16453737897993814,-0.6410206926128443,A|B|D,-0.16453737897993814,DOGE_31,2025-11-03,-0.22828538423455635
2025-11-17,DOGE,True,False,False,False,-0.04054991486409787,-0.03495084046939434,-0.16310028054348424,-0.6737643400879167,A,-0.16310028054348424,DOGE_31,2025-11-03,-0.22828538423455635
2025-11-21,DOGE,False,True,False,False,-0.05795057749127053,-0.13256662338465353,-0.11011734855693,-0.6991744397984346,B,-0.13256662338465353,DOGE_31,2025-11-03,-0.22828538423455635
2026-01-20,DOGE,True,True,False,False,-0.04490554351192322,-0.10530896431679726,-0.16806042622066364,-0.6681819404470506,A|B,-0.16806042622066364,DOGE_32,2026-01-20,-0.30069543227437967
2026-01-31,DOGE,True,True,False,True,-0.09973232017960443,-0.16591999999999996,-0.16075022136359973,-0.6614055598856846,A|B|D,-0.16591999999999996,DOGE_32,2026-01-20,-0.30069543227437967
2026-02-03,DOGE,True,False,False,False,-0.017605633802816878,0.01688087473623634,-0.15983833901260003,-0.6336305204229733,A,-0.15983833901260003,DOGE_32,2026-01-20,-0.30069543227437967
2026-02-05,DOGE,False,True,False,True,-0.14774150052971213,-0.1800407709414381,-0.24548090040927695,-0.6942083074158546,B|D,-0.1800407709414381,DOGE_32,2026-01-20,-0.30069543227437967
2026-06-02,DOGE,False,False,False,True,-0.08259149357072204,-0.07812344697346196,-0.08213755566551217,-0.6794871794871795,D,-0.08259149357072204,DOGE_33,2026-06-02,-0.1827482447342026
2026-06-04,DOGE,False,True,False,False,-0.030747346536820097,-0.12383778437190895,-0.1103746108265542,-0.6938972976708826,B,-0.12383778437190895,DOGE_33,2026-06-02,-0.1827482447342026
2026-06-05,DOGE,True,False,False,True,-0.08015353352901344,-0.12150943396226421,-0.1827482447342026,-0.7184325108853411,A|D,-0.1827482447342026,DOGE_33,2026-06-02,-0.1827482447342026
2022-06-03,OP,False,False,False,True,-0.11901681759379035,,,,D,-0.11901681759379035,OP_0,2022-06-03,-0.6762383345297918
2022-06-05,OP,False,True,False,True,-0.16367552045944,-0.24644243208279426,,,B|D,-0.24644243208279426,OP_0,2022-06-03,-0.6762383345297918
2022-06-07,OP,False,True,False,True,-0.16124148372445102,-0.2045944005743,,,B|D,-0.2045944005743,OP_0,2022-06-03,-0.6762383345297918
