rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
72,M8+M6+V4,3,OR,0.5577699088205643,0.39455095862764883,0.951310861423221,0.6054490413723511,9.805225876358772,1982,254,267
73,M7+X5,2,OR,0.5574343073025917,0.39048106448311154,0.9737827715355806,0.6095189355168884,9.824982597580142,1954,260,267
74,M7+VOL3,2,OR,0.5560474097749368,0.4080145719489982,0.8726591760299626,0.5919854280510018,10.34245471065889,1647,233,267
75,VOL6+M7+VOL4,3,OR,0.5558357072564355,0.387731919727376,0.9812734082397003,0.612268080272624,10.178750103357704,2641,262,267
76,VOL6+M7+VOL3,3,OR,0.5557535312623004,0.38823959094229366,0.9775280898876404,0.6117604090577063,10.491638376814613,2738,261,267
77,M8+M6,2,OR,0.5554082633010043,0.40185581727337616,0.898876404494382,0.5981441827266238,9.74338305267859,1401,240,267
78,M8+M6+VOL4,3,OR,0.555214634288887,0.39460020768431986,0.9363295880149812,0.6053997923156802,9.980605354450049,1926,250,267
79,M7+VOL3,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
80,M7+X5,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
81,M7+VOL4,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
82,M7+M6,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
83,VOL6+M7,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
84,M7+V7,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
85,M7+M8,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
86,M7+V4,2,WEIGHTED,0.5549351160047189,0.4563445867287544,0.7078651685393258,0.5436554132712457,9.712207324951576,859,189,267
87,M7+VOL3+V4,3,OR,0.5549162860304223,0.39771689497716894,0.9176029962546817,0.602283105022831,10.162161689683277,2190,245,267
88,M7+V7+VOL4,3,OR,0.5542624385126934,0.3879711986446421,0.9700374531835206,0.6120288013553579,10.092325101712708,2361,259,267
89,M7+M8+V7,3,OR,0.5540779769945212,0.3871951219512195,0.9737827715355806,0.6128048780487805,10.058732957585141,2624,260,267
