strategy_id,base_id,module,base_oos_return,cand_oos_return,delta_oos_return,base_oos_sharpe,cand_oos_sharpe,base_oos_pf,cand_oos_pf,base_oos_trades,cand_oos_trades,is_return_base,is_return_cand,is_gate_pass,verdict
S3.12_S_aggr_F8+A3,S3.12_S_aggr_F8,A,43.621023093201615,35.96618885359471,-7.654834239606906,0.7178704813207012,0.5041727176305206,1.272316957650161,1.3063350420404878,374,283,57.07911737605112,1.4592201548325963,False,reject
S3.12_S_aggr_F8+B3,S3.12_S_aggr_F8,B,43.621023093201615,33.05549737667546,-10.565525716526153,0.7178704813207012,0.7530767053234757,1.272316957650161,1.2537362102991882,374,439,57.07911737605112,37.17882673883794,False,reject
S3.12_S_aggr_F8+A4,S3.12_S_aggr_F8,A,43.621023093201615,30.357300348141173,-13.263722745060441,0.7178704813207012,0.4116555921755897,1.272316957650161,1.2301631961484765,374,292,57.07911737605112,15.189774144055242,False,reject
S3.12_S_aggr_F8+FC3,S3.12_S_aggr_F8,C,43.621023093201615,28.92566248605088,-14.695360607150736,0.7178704813207012,0.5184771448924431,1.272316957650161,1.195700970494713,374,338,57.07911737605112,49.37707674045061,False,reject
S3.12_S_aggr_F8+D1,S3.12_S_aggr_F8,D,43.621023093201615,28.860466500822174,-14.76055659237944,0.7178704813207012,0.4879759954880721,1.272316957650161,1.164799260903564,374,300,57.07911737605112,45.872107992242526,False,reject
S3.12_S_aggr_F8+A1+FC1+D1,S3.12_S_aggr_F8,combo,43.621023093201615,23.842741243746673,-19.77828184945494,0.7178704813207012,0.3024908936569641,1.272316957650161,1.1540038287374805,374,220,57.07911737605112,-6.561466052924607,False,reject
S3.12_S_aggr_F8+FC4,S3.12_S_aggr_F8,C,43.621023093201615,22.750883706887134,-20.87013938631448,0.7178704813207012,0.5672065755045127,1.272316957650161,1.2207794770754596,374,256,57.07911737605112,23.50832598002819,False,reject
S3.12_S_aggr_F8+F2,S3.12_S_aggr_F8,F,43.621023093201615,12.869236004597447,-30.751787088604168,0.7178704813207012,0.23213972273645467,1.272316957650161,1.1882907355638848,374,327,57.07911737605112,-2.906466252353193,False,reject
S3.12_S_aggr_F8+FC5,S3.12_S_aggr_F8,C,43.621023093201615,6.963176456518988,-36.65784663668263,0.7178704813207012,0.17548790249327678,1.272316957650161,1.0930823803489345,374,245,57.07911737605112,19.187958695294057,False,reject
S3.12_S_aggr_F8+FC2,S3.12_S_aggr_F8,C,43.621023093201615,-2.689109586425084,-46.3101326796267,0.7178704813207012,-0.18609703745559328,1.272316957650161,0.9774066459014329,374,172,57.07911737605112,16.79528614329924,False,reject
S7.04_S_trail+F2,S7.04_S_trail,F,14.755192695334111,36.8314833696934,22.076290674359292,1.8261349195710923,0.5442254878011158,1.5742762594228232,1.504411404011048,180,180,24.372917561634278,-4.531096939183231,False,hold
